# Table 1 from Gyldenkerne et al. (1975)
# Measurements of HS Hya in instrumental system
# HS Hya   A&A 42, pp. 303-309 (1975)
# npts      JD0        Period
# 533 2441374.5934   1.568035
#   HJD-2440000   phase      d(y)   d(b-y) d(m1)  d(c1)  d(b)   d(v)   d(u)
 n   dd   dm     phase      d(y)   d(b-y) d(m1)  d(c1)  d(b)   d(v)   d(u)
 75 1375 0.86595  0.81028    1.947  0.259  0.030 -0.727  2.206  2.494  2.055
 75 1375 0.86988  0.81279    1.948  0.266  0.017 -0.720  2.214  2.497  2.061
 75 1375 0.87411  0.81549    1.949  0.263  0.021 -0.738  2.211  2.495  2.040
 75 1375 0.87862  0.81836    1.948  0.258  0.036 -0.739  2.206  2.500  2.055
 75 1375 0.88319  0.82128    1.943  0.277  0.002 -0.730  2.221  2.500  2.048
 75 1375 0.88759  0.82408    1.951  0.268  0.010 -0.733  2.218  2.496  2.041
 75 1375 0.89211  0.82696    1.949  0.279 -0.014 -0.696  2.228  2.493  2.062
 75 1375 0.89650  0.82976    1.953  0.261  0.021 -0.731  2.214  2.496  2.046
 75 1375 0.90108  0.83269    1.961  0.260  0.018 -0.724  2.221  2.500  2.055
 75 1375 0.90518  0.83530    1.963  0.266  0.018 -0.739  2.229  2.513  2.058
 76 1376 0.58166  0.26672    1.938  0.279 -0.002 -0.722  2.217  2.494  2.050
 76 1376 0.58864  0.27117    1.934  0.272  0.010 -0.715  2.206  2.488  2.055
 76 1376 0.59350  0.27427    1.941  0.262  0.028 -0.729  2.203  2.493  2.055
 76 1376 0.59863  0.27754    1.964  0.255  0.026 -0.740  2.218  2.499  2.041
 76 1376 0.60337  0.28056    1.946  0.264  0.022 -0.738  2.209  2.495  2.043
 76 1376 0.61007  0.28484    1.939  0.273  0.009 -0.712  2.213  2.495  2.065
 76 1376 0.61847  0.29019    1.941  0.274  0.006 -0.721  2.215  2.494  2.053
 76 1376 0.62517  0.29447    1.942  0.273  0.008 -0.725  2.215  2.496  2.053
 76 1376 0.62959  0.29729    1.937  0.268  0.020 -0.743  2.205  2.492  2.037
 76 1376 0.63477  0.30059    1.936  0.271  0.017 -0.732  2.207  2.496  2.052
 76 1376 0.64023  0.30407    1.949  0.263  0.022 -0.718  2.212  2.496  2.062
 76 1376 0.64767  0.30882    1.957  0.255  0.028 -0.732  2.212  2.495  2.047
 76 1376 0.65444  0.31313    1.947  0.259  0.034 -0.741  2.206  2.500  2.052
 76 1376 0.65861  0.31579    1.956  0.261  0.019 -0.719  2.218  2.498  2.058
 76 1376 0.66283  0.31848    1.949  0.268  0.012 -0.716  2.217  2.498  2.063
 76 1376 0.66706  0.32118    1.957  0.254  0.028 -0.723  2.211  2.493  2.052
 76 1376 0.67224  0.32449    1.949  0.263  0.020 -0.732  2.211  2.494  2.045
 76 1376 0.68060  0.32982    1.940  0.272  0.013 -0.743  2.212  2.497  2.040
 76 1376 0.68610  0.33332    1.956  0.256  0.038 -0.743  2.212  2.505  2.056
 76 1376 0.69076  0.33630    1.954  0.265  0.019 -0.748  2.219  2.502  2.038
 76 1376 0.69622  0.33978    1.944  0.278  0.004 -0.721  2.221  2.503  2.064
 76 1376 0.71043  0.34884    1.961  0.262  0.017 -0.715  2.223  2.503  2.068
 76 1376 0.71599  0.35239    1.950  0.265  0.022 -0.740  2.215  2.501  2.048
 76 1376 0.73166  0.36238    1.938  0.275  0.016 -0.729  2.212  2.503  2.065
 76 1376 0.73957  0.36742    1.947  0.267  0.021 -0.727  2.214  2.501  2.062
 76 1376 0.75357  0.37635    1.957  0.257  0.025 -0.712  2.214  2.496  2.066
 76 1376 0.75751  0.37887    1.943  0.276  0.008 -0.723  2.219  2.502  2.063
 76 1376 0.76237  0.38197    1.950  0.266  0.016 -0.724  2.216  2.499  2.057
 76 1376 0.76648  0.38459    1.950  0.270  0.011 -0.722  2.220  2.502  2.062
 76 1376 0.77070  0.38728    1.941  0.280 -0.005 -0.706  2.221  2.496  2.066
 76 1376 0.77516  0.39012    1.958  0.260  0.021 -0.716  2.218  2.500  2.065
 76 1376 0.77944  0.39285    1.965  0.255  0.025 -0.710  2.220  2.500  2.070
 76 1376 0.78372  0.39558    1.959  0.250  0.043 -0.724  2.209  2.501  2.070
 76 1376 0.78789  0.39824    1.948  0.273  0.009 -0.730  2.221  2.503  2.055
 76 1376 0.79183  0.40075    1.953  0.270  0.013 -0.732  2.223  2.506  2.057
 76 1376 0.79646  0.40371    1.958  0.264  0.015 -0.728  2.222  2.501  2.052
 76 1376 0.80068  0.40640    1.968  0.253  0.035 -0.739  2.221  2.509  2.058
 76 1376 0.80485  0.40906    1.953  0.267  0.013 -0.722  2.219  2.499  2.057
 76 1376 0.81040  0.41260    1.958  0.259  0.028 -0.720  2.216  2.503  2.070
 76 1376 0.81428  0.41507    1.963  0.262  0.015 -0.718  2.225  2.502  2.060
 76 1376 0.81833  0.41765    1.962  0.256  0.037 -0.746  2.217  2.510  2.057
 76 1376 0.82267  0.42042    1.973  0.241  0.052 -0.745  2.214  2.507  2.056
 76 1376 0.82707  0.42323    1.968  0.255  0.032 -0.730  2.223  2.509  2.066
 76 1376 0.83135  0.42596    1.968  0.251  0.032 -0.724  2.219  2.502  2.062
 76 1376 0.83558  0.42865    1.956  0.262  0.029 -0.747  2.218  2.509  2.053
 76 1376 0.84015  0.43157    1.972  0.248  0.041 -0.749  2.221  2.510  2.051
 76 1376 0.84437  0.43426    1.965  0.269 -0.001 -0.705  2.235  2.503  2.065
 76 1376 0.84848  0.43688    1.954  0.271  0.014 -0.736  2.225  2.509  2.058
 76 1376 0.85780  0.44282    1.925  0.300 -0.024 -0.729  2.225  2.502  2.049
 76 1376 0.86208  0.44555    1.971  0.251  0.024 -0.701  2.222  2.497  2.071
 76 1376 0.87076  0.45109    1.962  0.260  0.028 -0.735  2.222  2.511  2.065
 76 1376 0.87458  0.45353    1.964  0.272 -0.001 -0.733  2.236  2.508  2.047
 76 1376 0.87904  0.45637    1.980  0.272  0.008 -0.720  2.253  2.533  2.093
 76 1376 0.88320  0.45902    1.993  0.265  0.024 -0.744  2.258  2.548  2.094
 76 1376 0.88859  0.46246    2.038  0.264  0.008 -0.723  2.302  2.574  2.122
 76 1376 0.89264  0.46504    2.048  0.267  0.003 -0.728  2.315  2.584  2.126
 77 1377 0.61590  0.92630    1.959  0.258  0.033 -0.734  2.217  2.508  2.064
 77 1377 0.61989  0.92884    1.953  0.266  0.022 -0.738  2.220  2.508  2.059
 77 1377 0.63392  0.93779    1.955  0.255  0.028 -0.722  2.211  2.494  2.056
 77 1377 0.63848  0.94070    1.954  0.259  0.024 -0.716  2.213  2.496  2.063
 77 1377 0.64282  0.94346    1.953  0.263  0.016 -0.714  2.216  2.495  2.061
