title  Photometry data for ATLAS2_551047062 from search centered on HS Hya using the atlas calibration catalog
Median of Right Ascension  156.15356, rms   0.00242
Median of Declination      -19.09218, rms   0.00233
Median of magcal_magdep         8.19, rms      0.28
Median of magcal_local_rms      0.25, rms      0.15
Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	NUMBER	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
2415828.680419	1902.214193	 8.06	 0.28	10.90	156.15359	-19.09250	 86.8	0.258	am01162	193	128	1479477248	336825	264	0.000700	7	11,16,17,18,19,21,27,28,30	3,8
2415840.643023	1902.246967	 8.25	 0.15	12.43	156.16275	-19.09124	-85.8	0.385	ac02445	190	41943168	1349388288	225561	257	0.000700	7,23,25	11,17,18,19,21,22,28,30	0,8
2415841.673968	1902.249792	 8.21	 0.18	12.08	156.15359	-19.09233	 54.8	0.277	am01167	193	0	1349451776	501934	384	0.000700		16,17,18,19,21,22,28,30	7,8
2415854.671789	1902.285402	 8.48	 0.52	14.82	156.15407	-19.09188	 65.6	0.258	b29351	184	0	1349454848	423773	576	0.000700		10,11,16,17,18,19,21,22,28,30	6,9
2415866.580113	1902.318028	 8.90	 0.46	12.59	156.15312	-19.09277	-63.7	0.436	b29427	184	276824064	1349192704	1090441	576	0.000700	23,28	10,11,16,17,19,21,22,28,30	6,9
2415868.549804	1902.323424	 8.14	 0.15	11.76	156.15358	-19.09122	-78.4	0.391	ac02506	190	0	1349451776	285616	384	0.000700		16,17,18,19,21,22,28,30	7,8
2415870.600075	1902.329041	 8.16	 0.17	12.76	156.15618	-19.09192	 75.2	0.492	am01222	193	0	1349451776	465468	384	0.000700		16,17,18,19,21,22,28,30	7,8
2415871.579268	1902.331724	 8.76	 0.48	14.48	156.15315	-19.09293	-85.2	0.409	b29589	184	0	1349452800	876749	704	0.000700		10,16,17,18,19,21,22,28,30	6,7,9
2415872.583390	1902.334475	 8.20	 0.17	12.30	156.15366	-19.09338	 74.6	0.427	am01232	193	0	1349451776	801925	384	0.000700		16,17,18,19,21,22,28,30	7,8
2415878.561582	1902.350854	 8.13	 0.13	12.32	156.15622	-19.09036	 64.6	0.465	ac02527	190	0	1349451776	264860	384	0.000700		16,17,18,19,21,22,28,30	7,8
