hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457939.4863,bh,V,8.487,0.02,1424.594,26.213
2457882.65566,bh,V,8.535,0.02,1363.032,25.08
2457714.81669,bg,V,8.432,0.02,1625.405,29.907
2457032.98321,bc,V,8.547,0.02,1499.581,27.592
2457011.10191,bd,V,8.568,0.02,1638.058,30.14
2456966.83551,bf,V,8.456,0.02,1564.965,28.795
2458450.12445,bc,V,8.698,0.02,1304.42,24.001
2458134.78332,bg,V,8.755,0.02,1208.01,22.227
2458127.06139,bd,V,8.584,0.02,1614.202,29.701
2458079.82798,bg,V,8.748,0.02,1215.073,22.357
2458068.86289,bg,V,8.809,0.02,1149.436,21.15
2457866.68109,bh,V,8.463,0.02,1456.151,26.793
2457796.66938,bg,V,8.623,0.02,1363.954,25.097
2457686.87679,bg,V,8.572,0.02,1429.069,26.295
2457546.4459,bg,V,8.391,0.02,1689.244,31.082
2457405.68433,bg,V,8.363,0.02,1732.332,31.875
2457097.68618,bf,V,8.502,0.02,1499.765,27.596
2458306.4794,bh,V,8.768,0.02,1099.277,20.227
2457567.47769,bg,V,8.472,0.02,1566.505,28.824
2457486.73497,bh,V,8.611,0.02,1270.865,23.384
2457403.64784,bg,V,8.388,0.02,1693.278,31.156
2458303.49025,bh,V,8.956,0.02,924.387,17.009
2457559.45526,bg,V,8.723,0.02,1243.166,22.874
2457477.68993,bh,V,8.57,0.02,1319.377,24.277
2457384.71294,bg,V,8.364,0.02,1730.391,31.839
2457118.71606,be,V,8.584,0.02,1606.622,29.562
2456990.76295,be,V,8.876,0.02,1228.01,22.595
2456968.83018,bf,V,8.556,0.02,1426.829,26.254
2457066.8265,be,V,8.661,0.02,1496.862,27.542
2458101.8144,bh,V,8.538,0.02,1358.62,24.999
2458095.83976,bg,V,8.585,0.02,1412.54,25.991
2457686.86906,bh,V,8.657,0.02,1217.345,22.399
2457471.61642,bg,V,8.426,0.02,1635.454,30.092
2457035.86614,be,V,8.564,0.02,1637.003,30.121
2456949.86287,be,V,8.669,0.02,1486.028,27.343
2457889.60683,bh,V,8.5,0.02,1407.089,25.89
2457709.82428,bh,V,8.653,0.02,1222.405,22.492
2457444.81247,bg,V,8.366,0.02,1727.259,31.782
2456980.13149,bc,V,8.646,0.02,1368.688,25.184
2457123.62142,be,V,8.524,0.02,1698.234,31.248
2457889.54046,bg,V,8.579,0.02,1419.477,26.118
2457879.48351,bh,V,8.48,0.02,1433.006,26.367
2457843.83834,bd,V,8.592,0.02,1602.892,29.493
2457835.86281,bd,V,8.638,0.02,1536.298,28.268
2457345.83319,bh,V,8.529,0.02,1370.511,25.217
2457190.53857,bf,V,8.59,0.02,1383.004,25.447
2456968.81302,be,V,8.684,0.02,1465.315,26.962
2456616.09051,bd,V,8.226,0.02,2245.305,41.314
2457813.58919,bg,V,8.579,0.02,1419.81,26.124
2457754.71409,bg,V,8.542,0.02,1469.284,27.035
2457424.7881,bg,V,8.35,0.02,1752.771,32.251
2457106.83398,bc,V,8.58,0.02,1454.292,26.759
2457094.76302,be,V,8.578,0.02,1615.39,29.723
